airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,16:20:00,19h 10m,1.0,In-flight meal not included,10844
Air India,2019-03-18,Banglore,New Delhi,11:05:00,22:10:00,11h 5m,2.0,No Info,10846
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,16:20:00,7h 55m,1.0,No Info,14781
Air India,2019-06-03,Delhi,Cochin,10:00:00,19:15:00,9h 15m,1.0,No Info,10979
Air India,2019-06-09,Banglore,Delhi,06:10:00,08:55:00,2h 45m,0.0,No Info,6961
Air India,2019-06-18,Banglore,Delhi,17:00:00,19:50:00,2h 50m,0.0,No Info,6961
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,19:00:00,9h,1.0,No Info,14502
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,20:45:00,25h 50m,1.0,In-flight meal not included,10844
Indigo,2019-06-18,Chennai,Kolkata,11:35:00,14:00:00,2h 25m,0.0,No Info,3858
Indigo,2019-03-09,Banglore,New Delhi,10:05:00,13:00:00,2h 55m,0.0,No Info,6860
Air India,2019-06-12,Kolkata,Banglore,16:50:00,13:45:00,20h 55m,2.0,No Info,11542
Air India,2019-05-15,Kolkata,Banglore,16:50:00,07:55:00,15h 5m,1.0,No Info,8891
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,22:35:00,6h 5m,1.0,In-flight meal not included,10844
Indigo,2019-06-01,Banglore,Delhi,16:55:00,19:45:00,2h 50m,0.0,No Info,4823
Air India,2019-03-12,Mumbai,Hyderabad,05:55:00,20:35:00,14h 40m,1.0,No Info,6901
Multiple Carriers,2019-03-03,Delhi,Cochin,06:40:00,18:50:00,12h 10m,1.0,No Info,15135
Spicejet,2019-03-09,Banglore,New Delhi,20:30:00,23:20:00,2h 50m,0.0,No Info,5126
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,10:45:00,27h 35m,1.0,No Info,8452
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,21:00:00,12h,1.0,In-flight meal not included,15136
Jet Airways,2019-05-09,Delhi,Cochin,19:45:00,19:00:00,23h 15m,1.0,In-flight meal not included,12373
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,21:20:00,7h 15m,1.0,No Info,16946
Air India,2019-05-01,Banglore,Delhi,10:00:00,12:45:00,2h 45m,0.0,No Info,6121
Air India,2019-03-06,Mumbai,Hyderabad,13:30:00,16:55:00,3h 25m,2.0,No Info,18797
Jet Airways,2019-03-15,Banglore,New Delhi,08:55:00,18:25:00,9h 30m,1.0,In-flight meal not included,9134
Spicejet,2019-04-27,Delhi,Cochin,06:05:00,11:20:00,5h 15m,1.0,No Info,5899
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,21:20:00,11h 35m,2.0,No Info,10444
Air India,2019-05-06,Kolkata,Banglore,12:00:00,18:30:00,30h 30m,2.0,No Info,10151
Vistara,2019-03-12,Mumbai,Hyderabad,07:30:00,19:55:00,12h 25m,1.0,No Info,12080
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,04:25:00,22h 55m,2.0,No Info,15129
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,18:50:00,21h,1.0,No Info,15764
Air Asia,2019-03-18,Kolkata,Banglore,22:50:00,01:20:00,2h 30m,0.0,No Info,4082
Goair,2019-03-18,Banglore,New Delhi,11:40:00,14:35:00,2h 55m,0.0,No Info,4340
Multiple Carriers,2019-06-24,Delhi,Cochin,10:35:00,19:00:00,8h 25m,1.0,No Info,10678
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,04:25:00,22h 55m,2.0,No Info,13292
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,19:00:00,23h 15m,1.0,No Info,14714
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,16:10:00,10h 25m,1.0,No Info,16736
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,15:15:00,7h 15m,1.0,No Info,19225
Air India,2019-05-12,Kolkata,Banglore,05:50:00,23:15:00,17h 25m,2.0,No Info,11411
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,10:05:00,20h,1.0,No Info,14388
Jet Airways,2019-03-06,Mumbai,Hyderabad,17:50:00,16:50:00,23h,2.0,No Info,20845
Multiple Carriers,2019-03-03,Delhi,Cochin,18:15:00,01:35:00,7h 20m,1.0,No Info,18916
Indigo,2019-03-03,Chennai,Kolkata,07:55:00,10:15:00,2h 20m,0.0,No Info,7295
Air India,2019-05-21,Delhi,Cochin,13:00:00,19:15:00,6h 15m,1.0,No Info,8372
Air India,2019-03-06,Delhi,Cochin,17:40:00,08:15:00,14h 35m,1.0,No Info,11038
Jet Airways,2019-04-09,Delhi,Cochin,09:25:00,04:25:00,19h,2.0,No Info,11546
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,20:20:00,25h 25m,1.0,In-flight meal not included,11087
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,04:25:00,9h 10m,1.0,No Info,16289
Air India,2019-05-18,Kolkata,Banglore,09:25:00,01:20:00,15h 55m,2.0,No Info,11668
Air Asia,2019-05-03,Banglore,Delhi,04:55:00,07:45:00,2h 50m,0.0,No Info,6181
Spicejet,2019-05-12,Mumbai,Hyderabad,22:45:00,00:15:00,1h 30m,0.0,No check-in baggage included,1965
Multiple Carriers,2019-03-21,Delhi,Cochin,10:00:00,01:35:00,15h 35m,1.0,In-flight meal not included,8565
Jet Airways,2019-06-09,Delhi,Cochin,19:30:00,04:25:00,8h 55m,2.0,No Info,13014
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,09:05:00,16h 5m,1.0,No Info,10027
Multiple Carriers,2019-05-15,Delhi,Cochin,10:35:00,19:15:00,8h 40m,1.0,No Info,7575
Vistara,2019-04-03,Banglore,Delhi,09:45:00,12:35:00,2h 50m,0.0,No Info,5403
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,16:20:00,26h 15m,1.0,In-flight meal not included,10844
Air India,2019-05-21,Banglore,Delhi,17:00:00,19:50:00,2h 50m,0.0,No Info,6961
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,18:50:00,7h 20m,1.0,No Info,15135
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,12:00:00,14h 50m,1.0,In-flight meal not included,9663
Jet Airways,2019-03-24,Banglore,New Delhi,05:45:00,10:45:00,5h,1.0,In-flight meal not included,8147
Indigo,2019-06-03,Delhi,Cochin,08:35:00,22:30:00,13h 55m,1.0,No Info,6442
Indigo,2019-05-21,Kolkata,Banglore,15:30:00,18:05:00,2h 35m,0.0,No Info,4804
Air India,2019-05-06,Kolkata,Banglore,05:50:00,20:25:00,14h 35m,2.0,No Info,10991
Indigo,2019-03-15,Mumbai,Hyderabad,20:05:00,21:35:00,1h 30m,0.0,No Info,2754
Multiple Carriers,2019-05-24,Delhi,Cochin,14:55:00,22:30:00,7h 35m,1.0,No Info,7740
Jet Airways,2019-06-12,Delhi,Cochin,18:15:00,19:00:00,24h 45m,1.0,In-flight meal not included,10262
Spicejet,2019-06-01,Kolkata,Banglore,17:10:00,19:40:00,2h 30m,0.0,No Info,4174
Air India,2019-03-06,Delhi,Cochin,20:40:00,09:25:00,12h 45m,1.0,No Info,12677
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,10h 20m,1.0,In-flight meal not included,10262
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,19:45:00,37h 25m,2.0,In-flight meal not included,9296
Multiple Carriers,2019-03-01,Delhi,Cochin,00:20:00,15:30:00,15h 10m,1.0,No Info,23170
Multiple Carriers,2019-06-12,Delhi,Cochin,04:55:00,19:15:00,14h 20m,1.0,No Info,7155
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,12:35:00,23h 35m,1.0,In-flight meal not included,10262
Indigo,2019-05-18,Delhi,Cochin,07:35:00,16:10:00,8h 35m,1.0,No Info,6442
Indigo,2019-05-27,Mumbai,Hyderabad,09:10:00,10:40:00,1h 30m,0.0,No Info,4049
Indigo,2019-06-06,Kolkata,Banglore,20:25:00,23:10:00,2h 45m,0.0,No Info,4804
Spicejet,2019-03-21,Kolkata,Banglore,22:20:00,00:40:00,2h 20m,0.0,No check-in baggage included,3815
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,6h 35m,1.0,In-flight meal not included,13994
Air India,2019-06-06,Delhi,Cochin,10:55:00,07:40:00,20h 45m,2.0,No Info,11753
Air India,2019-05-21,Delhi,Cochin,20:15:00,19:15:00,23h,2.0,No Info,13381
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,18:15:00,25h 45m,1.0,In-flight meal not included,8529
Air India,2019-06-09,Kolkata,Banglore,05:50:00,20:25:00,14h 35m,2.0,No Info,11201
Spicejet,2019-06-12,Mumbai,Hyderabad,05:45:00,07:15:00,1h 30m,0.0,No Info,2753
Multiple Carriers,2019-03-21,Delhi,Cochin,09:45:00,16:10:00,6h 25m,1.0,No Info,7242
Spicejet,2019-06-27,Mumbai,Hyderabad,13:15:00,14:45:00,1h 30m,0.0,No check-in baggage included,1965
Indigo,2019-04-18,Banglore,Delhi,22:10:00,01:00:00,2h 50m,0.0,No Info,4591
Indigo,2019-03-27,Mumbai,Hyderabad,20:05:00,21:35:00,1h 30m,0.0,No Info,2227
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,11:25:00,18h 30m,1.0,No Info,17261
Goair,2019-06-03,Delhi,Cochin,14:25:00,19:35:00,5h 10m,1.0,No Info,9069
Air India,2019-05-09,Banglore,Delhi,10:00:00,12:45:00,2h 45m,0.0,No Info,5228
Jet Airways,2019-04-06,Banglore,Delhi,19:50:00,22:50:00,3h,0.0,No Info,7229
Jet Airways,2019-06-24,Delhi,Cochin,23:05:00,12:35:00,13h 30m,2.0,No Info,12819
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,20:25:00,13h 15m,1.0,No Info,13152
Air Asia,2019-05-24,Kolkata,Banglore,07:35:00,19:25:00,11h 50m,1.0,No Info,5192
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,10:55:00,14h 30m,1.0,No Info,12692
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,22:40:00,26h 20m,1.0,No Info,8452
Jet Airways,2019-06-15,Delhi,Cochin,06:45:00,04:25:00,21h 40m,2.0,In-flight meal not included,10919
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,19:50:00,11h 25m,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-15,Delhi,Cochin,16:00:00,01:30:00,9h 30m,1.0,No Info,13727
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,10:05:00,17h 35m,1.0,No Info,14781
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,29h 20m,2.0,No Info,15129
Vistara,2019-05-21,Delhi,Cochin,06:00:00,09:10:00,3h 10m,0.0,No Info,6741
Indigo,2019-05-01,Banglore,Delhi,01:30:00,04:15:00,2h 45m,0.0,No Info,4077
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,01:30:00,13h 50m,1.0,No Info,6795
Air India,2019-03-27,Delhi,Cochin,20:30:00,23:00:00,26h 30m,1.0,No Info,5022
Air India,2019-03-27,Chennai,Kolkata,11:40:00,13:55:00,2h 15m,0.0,No Info,3145
Multiple Carriers,2019-05-18,Delhi,Cochin,10:20:00,19:00:00,8h 40m,1.0,No Info,9794
Multiple Carriers,2019-06-24,Delhi,Cochin,06:40:00,19:00:00,12h 20m,1.0,No Info,10877
Air Asia,2019-05-15,Delhi,Cochin,16:45:00,22:25:00,5h 40m,1.0,No Info,6752
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,19:00:00,11h,1.0,No Info,12402
Indigo,2019-05-18,Delhi,Cochin,08:35:00,16:10:00,7h 35m,1.0,No Info,6442
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,21:20:00,12h 25m,1.0,No Info,16736
Indigo,2019-06-01,Kolkata,Banglore,17:15:00,19:50:00,2h 35m,0.0,No Info,5224
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,18:15:00,11h 45m,1.0,In-flight meal not included,10844
Jet Airways,2019-03-12,Banglore,New Delhi,07:00:00,23:00:00,16h,1.0,No Info,13817
Spicejet,2019-05-03,Mumbai,Hyderabad,22:45:00,00:15:00,1h 30m,0.0,No Info,2227
Jet Airways,2019-06-06,Mumbai,Hyderabad,07:05:00,08:30:00,1h 25m,0.0,In-flight meal not included,4995
Spicejet,2019-03-27,Kolkata,Banglore,06:55:00,09:35:00,2h 40m,0.0,No Info,3847
Air India,2019-03-27,Delhi,Cochin,06:10:00,08:15:00,26h 5m,1.0,No Info,6681
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,09:05:00,25h 55m,1.0,No Info,8452
Jet Airways,2019-03-27,Delhi,Cochin,11:30:00,18:50:00,7h 20m,1.0,In-flight meal not included,6017
Spicejet,2019-06-21,Kolkata,Banglore,22:20:00,00:40:00,2h 20m,0.0,No Info,3873
Jet Airways,2019-04-03,Banglore,Delhi,08:20:00,11:20:00,3h,0.0,No Info,7229
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,8h 40m,1.0,No Info,14714
Jet Airways,2019-06-03,Delhi,Cochin,14:35:00,12:35:00,22h,2.0,In-flight meal not included,10919
Indigo,2019-03-01,Kolkata,Banglore,15:10:00,17:45:00,2h 35m,0.0,No Info,6565
Multiple Carriers,2019-06-01,Delhi,Cochin,09:00:00,19:15:00,10h 15m,1.0,No Info,16108
Air India,2019-03-01,Banglore,New Delhi,09:30:00,23:45:00,14h 15m,1.0,No Info,12704
Air India,2019-06-03,Delhi,Cochin,03:50:00,19:15:00,15h 25m,1.0,No Info,8669
Air India,2019-03-24,Banglore,New Delhi,17:00:00,22:55:00,29h 55m,2.0,No Info,8114
Air Asia,2019-05-01,Kolkata,Banglore,06:50:00,10:30:00,3h 40m,1.0,No Info,6857
Vistara,2019-06-09,Delhi,Cochin,14:40:00,17:50:00,3h 10m,0.0,No Info,6216
Vistara,2019-06-27,Banglore,Delhi,07:00:00,09:40:00,2h 40m,0.0,No Info,4668
Jet Airways,2019-06-03,Delhi,Cochin,11:30:00,19:00:00,7h 30m,1.0,In-flight meal not included,10262
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,04:40:00,7h 30m,1.0,No Info,14388
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,14:25:00,28h 50m,1.0,No Info,11467
Indigo,2019-03-24,Mumbai,Hyderabad,20:05:00,21:35:00,1h 30m,0.0,No Info,2227
Jet Airways,2019-06-15,Mumbai,Hyderabad,10:20:00,11:50:00,1h 30m,0.0,In-flight meal not included,4050
Multiple Carriers,2019-05-21,Delhi,Cochin,13:05:00,00:55:00,11h 50m,1.0,No Info,9486
Jet Airways,2019-06-27,Delhi,Cochin,14:00:00,19:00:00,5h,1.0,No Info,14714
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,08:15:00,11h 5m,1.0,No Info,14388
Air India,2019-06-21,Chennai,Kolkata,11:40:00,13:55:00,2h 15m,0.0,No Info,4667
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,09:05:00,25h 55m,1.0,No Info,7927
Indigo,2019-05-15,Delhi,Cochin,06:40:00,21:00:00,14h 20m,1.0,No Info,7191
Air India,2019-06-09,Delhi,Cochin,14:25:00,19:15:00,28h 50m,2.0,No Info,13381
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,21:00:00,12h,1.0,No Info,6883
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,19:00:00,19h 55m,2.0,No Info,12819
Indigo,2019-05-06,Banglore,Delhi,00:30:00,03:25:00,2h 55m,0.0,No Info,4284
Jet Airways,2019-06-09,Delhi,Cochin,02:15:00,04:25:00,26h 10m,1.0,In-flight meal not included,10262
Vistara,2019-06-12,Banglore,Delhi,09:45:00,12:35:00,2h 50m,0.0,No Info,4668
Multiple Carriers,2019-03-01,Delhi,Cochin,19:00:00,01:35:00,6h 35m,1.0,No Info,23533
Spicejet,2019-04-27,Banglore,Delhi,09:30:00,12:20:00,2h 50m,0.0,No check-in baggage included,4885
Indigo,2019-05-03,Kolkata,Banglore,14:25:00,16:55:00,2h 30m,0.0,No Info,5224
Air India,2019-06-27,Delhi,Cochin,20:40:00,09:25:00,12h 45m,1.0,No Info,7480
Air India,2019-05-18,Kolkata,Banglore,12:00:00,21:50:00,9h 50m,2.0,No Info,10151
Vistara,2019-06-27,Banglore,Delhi,17:00:00,19:35:00,2h 35m,0.0,No Info,4878
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,09:05:00,25h 55m,1.0,No Info,7980
Air Asia,2019-06-18,Banglore,Delhi,23:55:00,02:45:00,2h 50m,0.0,No Info,3383
Air India,2019-03-09,Delhi,Cochin,05:10:00,08:00:00,2h 50m,0.0,No Info,5831
Indigo,2019-05-03,Mumbai,Hyderabad,20:05:00,21:40:00,1h 35m,0.0,No Info,2754
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,26h 55m,2.0,In-flight meal not included,10368
Vistara,2019-03-24,Chennai,Kolkata,07:05:00,09:20:00,2h 15m,0.0,No Info,4842
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,16:20:00,9h 50m,1.0,No Info,14781
Air India,2019-04-03,Kolkata,Banglore,19:00:00,11:05:00,16h 5m,1.0,No Info,4227
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,3h,0.0,In-flight meal not included,4030
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,22:20:00,15h 15m,1.0,No Info,6717
Indigo,2019-04-12,Banglore,Delhi,08:30:00,11:20:00,2h 50m,0.0,No Info,4823
Jet Airways,2019-05-03,Banglore,Delhi,08:20:00,11:20:00,3h,0.0,No Info,7229
Indigo,2019-03-21,Delhi,Cochin,20:30:00,01:35:00,5h 5m,1.0,No Info,6232
Vistara,2019-04-21,Banglore,Delhi,09:45:00,12:35:00,2h 50m,0.0,No Info,5403
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,12:00:00,5h 30m,1.0,No Info,14571
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,16:20:00,21h 25m,1.0,No Info,14781
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,10:55:00,25h 20m,1.0,In-flight meal not included,8066
Multiple Carriers,2019-05-09,Delhi,Cochin,07:05:00,19:15:00,12h 10m,1.0,In-flight meal not included,11142
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,13h,1.0,In-flight meal not included,9450
Indigo,2019-06-24,Chennai,Kolkata,22:05:00,00:25:00,2h 20m,0.0,No Info,5277
Goair,2019-06-03,Banglore,Delhi,11:40:00,14:30:00,2h 50m,0.0,No Info,3898
Air India,2019-05-09,Kolkata,Banglore,16:50:00,13:45:00,20h 55m,2.0,No Info,12592
Indigo,2019-06-24,Delhi,Cochin,21:50:00,03:35:00,5h 45m,1.0,No Info,5775
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,14h 25m,1.0,In-flight meal not included,10262
Jet Airways,2019-06-24,Delhi,Cochin,23:05:00,04:25:00,29h 20m,2.0,No Info,12819
Goair,2019-05-09,Kolkata,Banglore,23:30:00,07:45:00,8h 15m,1.0,No Info,6095
Jet Airways,2019-03-18,Mumbai,Hyderabad,15:50:00,17:20:00,1h 30m,0.0,No Info,5678
Jet Airways,2019-05-21,Delhi,Cochin,15:00:00,04:25:00,13h 25m,1.0,In-flight meal not included,12898
Indigo,2019-05-27,Delhi,Cochin,15:10:00,20:00:00,4h 50m,1.0,No Info,5912
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,2h 45m,0.0,No Info,4482
Jet Airways,2019-06-01,Delhi,Cochin,09:35:00,04:25:00,18h 50m,2.0,No Info,13292
Jet Airways,2019-03-27,Delhi,Cochin,19:45:00,04:25:00,8h 40m,1.0,No Info,12242
Indigo,2019-06-09,Kolkata,Banglore,17:35:00,22:15:00,4h 40m,1.0,No Info,5699
Indigo,2019-06-27,Chennai,Kolkata,14:45:00,17:05:00,2h 20m,0.0,No Info,3597
Air India,2019-05-06,Delhi,Cochin,22:00:00,19:15:00,21h 15m,2.0,No Info,11701
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,09:30:00,25h 30m,1.0,In-flight meal not included,11087
Indigo,2019-03-27,Delhi,Cochin,05:35:00,08:50:00,3h 15m,0.0,No Info,4729
Multiple Carriers,2019-03-03,Delhi,Cochin,07:10:00,21:20:00,14h 10m,2.0,In-flight meal not included,8938
Air India,2019-03-01,Banglore,New Delhi,10:30:00,22:55:00,12h 25m,1.0,No Info,11003
Indigo,2019-04-15,Banglore,Delhi,23:30:00,02:20:00,2h 50m,0.0,No Info,4591
Multiple Carriers,2019-05-09,Delhi,Cochin,08:30:00,19:15:00,10h 45m,1.0,No Info,8099
Indigo,2019-06-27,Delhi,Cochin,11:25:00,21:00:00,9h 35m,1.0,No Info,5894
Jet Airways,2019-05-03,Banglore,Delhi,18:55:00,22:00:00,3h 5m,0.0,In-flight meal not included,6144
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,09:45:00,16h 45m,1.0,No Info,14151
Air India,2019-03-18,Banglore,New Delhi,11:05:00,22:10:00,35h 5m,2.0,No Info,11161
Jet Airways,2019-05-18,Banglore,Delhi,08:20:00,11:20:00,3h,0.0,No Info,7229
Spicejet,2019-05-01,Chennai,Kolkata,09:45:00,12:00:00,2h 15m,0.0,No check-in baggage included,3543
Air India,2019-05-21,Banglore,Delhi,10:00:00,12:45:00,2h 45m,0.0,No Info,6961
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,01:30:00,12h 30m,1.0,No Info,7198
Air India,2019-06-12,Delhi,Cochin,20:15:00,19:15:00,23h,2.0,No Info,13381
Air India,2019-03-09,Banglore,New Delhi,22:00:00,23:20:00,25h 20m,1.0,No Info,8425
Indigo,2019-03-24,Chennai,Kolkata,19:35:00,21:55:00,2h 20m,0.0,No Info,7295
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,12:00:00,17h 5m,1.0,No Info,14231
Indigo,2019-04-15,Kolkata,Banglore,15:30:00,18:05:00,2h 35m,0.0,No Info,4174
Spicejet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,7h 15m,1.0,No Info,8479
Indigo,2019-06-09,Banglore,Delhi,00:25:00,03:15:00,2h 50m,0.0,No Info,3943
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,19:00:00,21h 10m,1.0,No Info,14714
