airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Vistara,2019-03-15,Banglore,New Delhi,06:40:00,12:35:00,5h 55m,1.0,No Info,6800
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,04:40:00,12h 10m,1.0,No Info,14388
Indigo,2019-05-06,Delhi,Cochin,14:20:00,22:30:00,8h 10m,1.0,No Info,7054
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,04:40:00,9h 45m,1.0,In-flight meal not included,9663
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,12:35:00,13h 45m,1.0,In-flight meal not included,10262
Indigo,2019-03-24,Banglore,New Delhi,10:10:00,13:00:00,2h 50m,0.0,No Info,4777
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,10:55:00,25h 20m,1.0,No Info,10953
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,16:10:00,8h 10m,1.0,In-flight meal not included,9134
Air Asia,2019-04-03,Banglore,Delhi,04:55:00,07:45:00,2h 50m,0.0,No Info,4282
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,12:00:00,5h 30m,1.0,In-flight meal not included,9663
Air India,2019-05-24,Kolkata,Banglore,10:00:00,01:20:00,15h 20m,2.0,No Info,13873
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,09:20:00,19h 15m,1.0,No Info,14178
Indigo,2019-06-03,Kolkata,Banglore,15:30:00,18:05:00,2h 35m,0.0,No Info,4804
Goair,2019-03-24,Kolkata,Banglore,16:25:00,00:05:00,7h 40m,1.0,No Info,10198
Vistara,2019-03-03,Banglore,New Delhi,21:10:00,00:05:00,2h 55m,0.0,No Info,7608
Spicejet,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,2h 20m,0.0,No Info,3597
Indigo,2019-06-03,Delhi,Cochin,07:35:00,16:10:00,8h 35m,1.0,No Info,7514
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,04:40:00,14h 35m,1.0,No Info,14178
Indigo,2019-05-21,Mumbai,Hyderabad,02:35:00,04:05:00,1h 30m,0.0,No Info,2754
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,04:25:00,7h 30m,1.0,In-flight meal not included,10262
Spicejet,2019-05-12,Banglore,Delhi,09:30:00,12:20:00,2h 50m,0.0,No Info,4423
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,18:00:00,25h,1.0,No Info,11467
Air India,2019-03-24,Banglore,New Delhi,13:20:00,16:10:00,2h 50m,0.0,No Info,7276
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,29h 20m,2.0,No Info,16704
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,04:25:00,6h 35m,1.0,No Info,15029
Spicejet,2019-05-01,Kolkata,Banglore,09:00:00,11:25:00,2h 25m,0.0,No check-in baggage included,3841
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,08:15:00,18h 10m,1.0,In-flight meal not included,13502
Jet Airways,2019-03-27,Delhi,Cochin,17:30:00,19:45:00,26h 15m,1.0,In-flight meal not included,5406
Jet Airways,2019-03-03,Delhi,Cochin,23:05:00,18:50:00,19h 45m,1.0,No Info,18253
Indigo,2019-04-03,Banglore,Delhi,21:15:00,00:15:00,3h,0.0,No Info,3943
Indigo,2019-05-18,Banglore,Delhi,18:25:00,21:20:00,2h 55m,0.0,No Info,4823
Jet Airways,2019-03-06,Mumbai,Hyderabad,17:15:00,16:50:00,23h 35m,2.0,No Info,22950
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,22:05:00,12h 30m,1.0,No Info,12121
Multiple Carriers,2019-03-06,Delhi,Cochin,04:00:00,18:50:00,14h 50m,1.0,No Info,13399
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,21:00:00,13h,1.0,No Info,13587
Air India,2019-06-01,Delhi,Cochin,05:15:00,07:40:00,26h 25m,3.0,No Info,12383
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,04:25:00,15h 25m,1.0,In-flight meal not included,10262
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,16:20:00,21h 25m,1.0,No Info,13584
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,12:35:00,5h 30m,1.0,No Info,15554
Air India,2019-05-09,Kolkata,Banglore,09:25:00,05:25:00,20h,2.0,No Info,14687
Spicejet,2019-03-27,Chennai,Kolkata,09:30:00,12:05:00,2h 35m,0.0,No Info,3384
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,19:15:00,6h 15m,1.0,No Info,16108
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,20:45:00,6h 40m,1.0,In-flight meal not included,9663
Indigo,2019-06-12,Delhi,Cochin,16:00:00,21:00:00,5h,1.0,No Info,6069
Indigo,2019-05-21,Delhi,Cochin,15:10:00,20:50:00,5h 40m,1.0,No Info,6027
Jet Airways,2019-03-09,Delhi,Cochin,20:50:00,04:25:00,7h 35m,1.0,No Info,15554
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,16:20:00,9h 50m,1.0,In-flight meal not included,9899
Air India,2019-03-03,Banglore,New Delhi,21:10:00,23:55:00,2h 45m,0.0,No Info,7591
Jet Airways,2019-06-24,Delhi,Cochin,11:00:00,14:15:00,3h 15m,0.0,In-flight meal not included,4256
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,04:25:00,33h 15m,2.0,No Info,10929
Air India,2019-03-03,Delhi,Cochin,16:40:00,19:15:00,26h 35m,2.0,No Info,14011
Multiple Carriers,2019-05-21,Delhi,Cochin,10:35:00,19:00:00,8h 25m,1.0,No Info,9103
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,04:40:00,20h 15m,1.0,In-flight meal not included,8586
Indigo,2019-03-18,Kolkata,Banglore,09:35:00,12:20:00,2h 45m,0.0,No Info,4462
Goair,2019-05-15,Banglore,Delhi,07:45:00,10:40:00,2h 55m,0.0,No Info,3419
Indigo,2019-04-24,Banglore,Delhi,18:55:00,21:50:00,2h 55m,0.0,No Info,4823
Jet Airways,2019-05-24,Banglore,Delhi,07:10:00,10:10:00,3h,0.0,No Info,7229
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,19:15:00,11h 45m,1.0,No Info,9100
Jet Airways,2019-06-01,Banglore,Delhi,06:00:00,08:45:00,2h 45m,0.0,In-flight meal not included,7229
Jet Airways,2019-05-09,Banglore,Delhi,08:20:00,11:20:00,3h,0.0,No Info,7229
Air India,2019-06-09,Kolkata,Banglore,09:50:00,12:30:00,26h 40m,2.0,No Info,14960
Indigo,2019-03-09,Delhi,Cochin,05:05:00,10:05:00,5h,1.0,No Info,8147
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,12:00:00,5h 30m,1.0,In-flight meal not included,10056
Indigo,2019-04-06,Banglore,Delhi,06:05:00,08:50:00,2h 45m,0.0,No Info,4423
Air India,2019-06-12,Delhi,Cochin,21:00:00,07:40:00,10h 40m,1.0,No Info,8372
Indigo,2019-06-27,Mumbai,Hyderabad,21:20:00,22:50:00,1h 30m,0.0,No Info,2227
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,08:15:00,11h 5m,1.0,In-flight meal not included,7757
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,12:00:00,5h 30m,1.0,No Info,14388
Jet Airways,2019-06-06,Delhi,Cochin,06:45:00,04:25:00,21h 40m,2.0,No Info,13376
Air India,2019-06-12,Kolkata,Banglore,16:45:00,12:30:00,19h 45m,2.0,No Info,14960
Air Asia,2019-04-24,Kolkata,Banglore,19:55:00,22:25:00,2h 30m,0.0,No Info,4107
Spicejet,2019-05-18,Kolkata,Banglore,09:00:00,11:25:00,2h 25m,0.0,No Info,4491
Multiple Carriers,2019-05-18,Delhi,Cochin,13:00:00,21:00:00,8h,1.0,No Info,9385
Jet Airways,2019-03-18,Mumbai,Hyderabad,02:55:00,04:25:00,1h 30m,0.0,No Info,5678
Spicejet,2019-06-09,Kolkata,Banglore,17:10:00,19:40:00,2h 30m,0.0,No check-in baggage included,3841
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,10:05:00,14h 5m,1.0,In-flight meal not included,8586
Jet Airways,2019-03-15,Mumbai,Hyderabad,10:20:00,11:50:00,1h 30m,0.0,In-flight meal not included,4160
Indigo,2019-06-24,Delhi,Cochin,02:00:00,07:25:00,5h 25m,1.0,No Info,5636
Air India,2019-03-01,Banglore,New Delhi,05:50:00,12:15:00,30h 25m,3.0,No Info,12346
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,13h 30m,2.0,No Info,13014
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,12:35:00,26h 55m,2.0,In-flight meal not included,10368
Vistara,2019-03-18,Banglore,New Delhi,19:40:00,22:20:00,2h 40m,0.0,No Info,12123
Air India,2019-05-15,Delhi,Cochin,09:00:00,19:15:00,10h 15m,1.0,No Info,8372
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,10:45:00,17h 45m,1.0,No Info,9922
Air India,2019-03-15,Banglore,New Delhi,11:50:00,19:50:00,8h,1.0,No Info,7192
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,08:15:00,15h 45m,1.0,No Info,13941
Multiple Carriers,2019-06-27,Delhi,Cochin,07:30:00,19:00:00,11h 30m,1.0,No Info,10877
Air Asia,2019-03-09,Delhi,Cochin,16:45:00,22:15:00,5h 30m,1.0,No Info,8327
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,19:45:00,24h 30m,1.0,No Info,12032
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,18:50:00,13h 25m,2.0,No Info,18799
Indigo,2019-03-01,Banglore,New Delhi,18:25:00,21:20:00,2h 55m,0.0,No Info,12649
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,08:10:00,11h,1.0,In-flight meal not included,11134
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,10:05:00,12h 55m,1.0,In-flight meal not included,11841
Jet Airways,2019-03-09,Delhi,Cochin,13:55:00,04:25:00,14h 30m,2.0,No Info,17229
Indigo,2019-05-27,Delhi,Cochin,17:05:00,22:15:00,5h 10m,1.0,No Info,6373
Indigo,2019-05-06,Kolkata,Banglore,15:15:00,17:45:00,2h 30m,0.0,No Info,4804
Goair,2019-05-21,Banglore,Delhi,07:45:00,10:40:00,2h 55m,0.0,No Info,5048
Indigo,2019-05-27,Delhi,Cochin,14:20:00,22:30:00,8h 10m,1.0,No Info,6938
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,15:15:00,16h 20m,1.0,No Info,13817
Air India,2019-05-12,Kolkata,Banglore,05:50:00,08:55:00,27h 5m,2.0,No Info,11411
Air Asia,2019-06-03,Delhi,Cochin,20:45:00,06:35:00,9h 50m,1.0,No Info,11410
Jet Airways,2019-06-12,Delhi,Cochin,19:15:00,12:35:00,17h 20m,1.0,In-flight meal not included,10262
Jet Airways,2019-05-24,Delhi,Cochin,23:05:00,04:25:00,29h 20m,2.0,No Info,15129
Jet Airways,2019-06-09,Delhi,Cochin,11:45:00,12:35:00,24h 50m,2.0,No Info,13882
Spicejet,2019-03-18,Mumbai,Hyderabad,22:45:00,00:10:00,1h 25m,0.0,No Info,2017
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,1h 30m,0.0,No check-in baggage included,2647
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,00:45:00,25h 55m,1.0,No Info,14815
Indigo,2019-05-15,Delhi,Cochin,05:05:00,12:10:00,7h 5m,1.0,No Info,6818
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,20:45:00,12h 20m,1.0,In-flight meal not included,10844
Air India,2019-05-15,Delhi,Cochin,22:00:00,19:15:00,21h 15m,2.0,No Info,11281
Air Asia,2019-04-18,Banglore,Delhi,23:55:00,02:45:00,2h 50m,0.0,No Info,4483
Air India,2019-03-09,Banglore,New Delhi,21:10:00,23:55:00,2h 45m,0.0,No Info,4966
Indigo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,1h 30m,0.0,No Info,16000
Air India,2019-03-03,Delhi,Cochin,19:00:00,07:40:00,12h 40m,1.0,No Info,14777
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,12:35:00,14h 45m,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,21:05:00,28h 5m,1.0,No Info,14151
Jet Airways,2019-05-09,Delhi,Cochin,10:00:00,19:00:00,9h,1.0,In-flight meal not included,12373
Indigo,2019-03-27,Kolkata,Banglore,20:25:00,23:05:00,2h 40m,0.0,No Info,4462
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,09:20:00,16h 50m,1.0,In-flight meal not included,8529
Multiple Carriers,2019-06-15,Delhi,Cochin,11:25:00,19:15:00,7h 50m,1.0,No Info,8614
Air India,2019-03-21,Banglore,New Delhi,11:50:00,08:55:00,21h 5m,1.0,No Info,5092
Air India,2019-03-03,Banglore,New Delhi,10:00:00,12:45:00,2h 45m,0.0,No Info,11423
Indigo,2019-06-09,Delhi,Cochin,05:35:00,08:50:00,3h 15m,0.0,No Info,5601
Indigo,2019-03-15,Chennai,Kolkata,13:20:00,15:35:00,2h 15m,0.0,No Info,6297
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,19:00:00,19h 55m,2.0,No Info,12819
Air Asia,2019-05-12,Kolkata,Banglore,07:35:00,19:25:00,11h 50m,1.0,No Info,5320
Indigo,2019-06-15,Delhi,Cochin,06:40:00,21:00:00,14h 20m,1.0,No Info,6093
Air India,2019-06-06,Delhi,Cochin,05:15:00,06:50:00,25h 35m,1.0,No Info,6587
Indigo,2019-06-06,Delhi,Cochin,05:05:00,12:10:00,7h 5m,1.0,No Info,6818
Indigo,2019-06-06,Banglore,Delhi,23:30:00,02:20:00,2h 50m,0.0,No Info,4591
Air India,2019-06-27,Delhi,Cochin,07:00:00,19:15:00,12h 15m,1.0,No Info,8669
Spicejet,2019-06-27,Kolkata,Banglore,17:10:00,19:40:00,2h 30m,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-03,Delhi,Cochin,12:50:00,01:30:00,12h 40m,1.0,No Info,7530
Indigo,2019-03-06,Delhi,Cochin,06:40:00,13:20:00,6h 40m,1.0,No Info,14871
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,23:35:00,7h 5m,1.0,No Info,13941
Multiple Carriers,2019-06-12,Delhi,Cochin,17:50:00,01:30:00,7h 40m,2.0,No Info,18275
Jet Airways,2019-06-12,Delhi,Cochin,18:20:00,12:35:00,18h 15m,2.0,No Info,14300
Multiple Carriers,2019-05-15,Delhi,Cochin,07:10:00,22:30:00,15h 20m,1.0,No Info,6513
Jet Airways,2019-06-09,Delhi,Cochin,11:00:00,14:15:00,3h 15m,0.0,No Info,9564
Air India,2019-03-24,Mumbai,Hyderabad,13:55:00,15:25:00,1h 30m,0.0,No Info,2575
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,19:10:00,22h 45m,1.0,No Info,14151
Air India,2019-06-09,Delhi,Cochin,09:45:00,09:25:00,23h 40m,1.0,No Info,7690
Goair,2019-03-27,Delhi,Cochin,10:25:00,19:20:00,8h 55m,1.0,No Info,5281
Air India,2019-06-06,Mumbai,Hyderabad,21:05:00,22:25:00,1h 20m,0.0,No Info,3100
Indigo,2019-03-01,Kolkata,Banglore,14:20:00,16:55:00,2h 35m,0.0,No Info,6565
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,08:15:00,13h 20m,1.0,No Info,13044
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,19:00:00,22h 5m,1.0,In-flight meal not included,10262
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,09:25:00,17h 45m,1.0,No Info,12395
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,18:00:00,25h,1.0,No Info,12692
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,12:35:00,26h 55m,2.0,In-flight meal not included,10368
Jet Airways,2019-06-12,Delhi,Cochin,13:00:00,12:35:00,23h 35m,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,09:45:00,16h 45m,1.0,No Info,13067
Air India,2019-03-09,Delhi,Cochin,07:05:00,19:15:00,36h 10m,2.0,No Info,11762
Multiple Carriers,2019-03-03,Delhi,Cochin,15:25:00,01:35:00,10h 10m,1.0,No Info,15147
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,04:25:00,8h 40m,1.0,In-flight meal not included,12898
Indigo,2019-03-01,Chennai,Kolkata,11:35:00,14:00:00,2h 25m,0.0,No Info,7900
Jet Airways,2019-06-09,Delhi,Cochin,14:00:00,12:35:00,22h 35m,1.0,In-flight meal not included,10262
Indigo,2019-06-03,Delhi,Cochin,14:25:00,17:40:00,3h 15m,0.0,No Info,6015
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,01:35:00,12h 35m,1.0,No Info,6673
Air India,2019-06-27,Delhi,Cochin,12:00:00,19:15:00,7h 15m,2.0,No Info,8603
Air Asia,2019-04-24,Banglore,Delhi,04:55:00,07:45:00,2h 50m,0.0,No Info,3383
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,19:00:00,19h 55m,2.0,No Info,15129
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,21:00:00,13h 55m,1.0,No Info,13062
Air Asia,2019-06-09,Delhi,Cochin,20:45:00,07:10:00,10h 25m,1.0,No Info,10794
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,18:00:00,21h 35m,1.0,In-flight meal not included,9314
Spicejet,2019-04-15,Kolkata,Banglore,15:05:00,20:20:00,5h 15m,1.0,No Info,4649
Jet Airways,2019-03-06,Delhi,Cochin,19:45:00,04:25:00,8h 40m,1.0,No Info,15764
Spicejet,2019-05-27,Chennai,Kolkata,09:45:00,12:00:00,2h 15m,0.0,No check-in baggage included,3543
Spicejet,2019-03-24,Kolkata,Banglore,17:15:00,19:45:00,2h 30m,0.0,No Info,6461
Air India,2019-06-12,Delhi,Cochin,07:10:00,07:40:00,24h 30m,2.0,No Info,12488
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,12:35:00,26h 55m,2.0,In-flight meal not included,11733
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,04:40:00,7h 30m,1.0,In-flight meal not included,8586
Spicejet,2019-04-12,Kolkata,Banglore,17:10:00,19:40:00,2h 30m,0.0,No check-in baggage included,3841
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,04:25:00,18h 45m,2.0,No Info,15129
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,12:35:00,26h 35m,1.0,In-flight meal not included,12898
Indigo,2019-06-06,Delhi,Cochin,08:30:00,21:00:00,12h 30m,1.0,No Info,6416
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,19:00:00,23h 45m,1.0,In-flight meal not included,10262
Indigo,2019-05-03,Banglore,Delhi,18:55:00,21:50:00,2h 55m,0.0,No Info,4823
Multiple Carriers,2019-06-15,Delhi,Cochin,12:50:00,01:30:00,12h 40m,1.0,No Info,6795
Spicejet,2019-05-18,Kolkata,Banglore,22:20:00,00:40:00,2h 20m,0.0,No Info,3873
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,19:00:00,5h,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Mumbai,Hyderabad,02:55:00,04:20:00,1h 25m,0.0,No Info,5678
Air India,2019-03-15,Banglore,New Delhi,13:20:00,16:10:00,2h 50m,0.0,No Info,7276
Multiple Carriers,2019-05-09,Delhi,Cochin,14:55:00,22:30:00,7h 35m,1.0,No Info,6805
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,01:30:00,13h 50m,1.0,No Info,6795
Spicejet,2019-04-12,Banglore,Delhi,09:30:00,12:20:00,2h 50m,0.0,No Info,4991
Indigo,2019-06-03,Kolkata,Banglore,14:25:00,16:55:00,2h 30m,0.0,No Info,5644
Vistara,2019-03-21,Banglore,New Delhi,09:50:00,12:35:00,2h 45m,0.0,No Info,4878
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,20:45:00,12h 20m,1.0,No Info,14781
Air India,2019-03-24,Kolkata,Banglore,20:30:00,16:15:00,19h 45m,1.0,No Info,12173
Jet Airways,2019-05-18,Banglore,Delhi,15:15:00,18:10:00,2h 55m,0.0,In-flight meal not included,4544
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,08:15:00,12h 15m,1.0,In-flight meal not included,9663
Indigo,2019-05-06,Kolkata,Banglore,19:20:00,23:45:00,4h 25m,1.0,No Info,3809
Multiple Carriers,2019-06-06,Delhi,Cochin,08:45:00,19:00:00,10h 15m,1.0,No Info,12524
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,16:20:00,23h 50m,1.0,In-flight meal not included,7064
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,22:35:00,8h 30m,1.0,No Info,14571
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,18:50:00,25h 50m,1.0,No Info,9870
Indigo,2019-06-27,Delhi,Cochin,05:35:00,08:50:00,3h 15m,0.0,No Info,5000
Air Asia,2019-05-21,Kolkata,Banglore,22:40:00,10:40:00,12h,1.0,No Info,9719
Air India,2019-05-06,Kolkata,Banglore,07:00:00,10:30:00,27h 30m,3.0,No Info,13007
Indigo,2019-05-09,Banglore,Delhi,06:05:00,08:50:00,2h 45m,0.0,No Info,4077
Air India,2019-06-09,Kolkata,Banglore,16:50:00,13:45:00,20h 55m,2.0,No Info,11752
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,23:35:00,9h 30m,1.0,No Info,14781
Indigo,2019-06-24,Mumbai,Hyderabad,01:40:00,03:10:00,1h 30m,0.0,No Info,2754
Indigo,2019-05-21,Banglore,Delhi,07:10:00,10:05:00,2h 55m,0.0,No Info,4823
Jet Airways,2019-04-01,Delhi,Cochin,09:00:00,12:35:00,27h 35m,1.0,In-flight meal not included,5406
Indigo,2019-03-15,Banglore,New Delhi,21:20:00,00:15:00,2h 55m,0.0,No Info,8033
Indigo,2019-05-15,Banglore,Delhi,00:30:00,03:25:00,2h 55m,0.0,No Info,3419
Spicejet,2019-03-12,Chennai,Kolkata,17:45:00,20:05:00,2h 20m,0.0,No Info,6300
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,23:15:00,3h 40m,1.0,No Info,4226
Air Asia,2019-06-09,Delhi,Cochin,16:45:00,22:25:00,5h 40m,1.0,No Info,13470
Air India,2019-03-24,Kolkata,Banglore,07:00:00,13:45:00,30h 45m,2.0,No Info,12829
Jet Airways,2019-05-09,Delhi,Cochin,11:40:00,19:00:00,7h 20m,2.0,In-flight meal not included,19644
Indigo,2019-05-24,Kolkata,Banglore,11:30:00,14:05:00,2h 35m,0.0,No Info,5224
